LineNumber,OrderId,InitialId,ParentId,Side,Product,DeliveryStart,DeliveryEnd,CreationTime,DeliveryArea,ExecutionRestriction,UserDefinedBlock,LinkedBasketId,RevisionNo,ActionCode,TransactionTime,ValidityTime,Price,Currency,Quantity,QuantityUnit,Volume,VolumeUnit
1,11591798195,11591798195,0.0,SELL,XBID_Hour_Power,2021-06-26 13:00:00+00:00,2021-06-26 14:00:00+00:00,2021-06-25 13:00:13.446000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:13.446000+00:00,0.0,500.0,EUR,1.0,MAW,1.0,MWH
2,11591798196,11591798196,0.0,SELL,XBID_Hour_Power,2021-06-26 09:00:00+00:00,2021-06-26 10:00:00+00:00,2021-06-25 13:00:13.446000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:13.446000+00:00,0.0,500.0,EUR,1.0,MAW,1.0,MWH
3,11591798197,11591798197,0.0,SELL,XBID_Hour_Power,2021-06-26 20:00:00+00:00,2021-06-26 21:00:00+00:00,2021-06-25 13:00:13.446000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:13.446000+00:00,0.0,500.0,EUR,4.0,MAW,4.0,MWH
4,11591798198,11591798198,0.0,SELL,XBID_Hour_Power,2021-06-26 19:00:00+00:00,2021-06-26 20:00:00+00:00,2021-06-25 13:00:13.446000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:13.446000+00:00,0.0,500.0,EUR,4.0,MAW,4.0,MWH
5,11591798301,11591798301,0.0,SELL,XBID_Hour_Power,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,2021-06-25 13:00:13.768000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:13.768000+00:00,0.0,500.0,EUR,1.0,MAW,1.0,MWH
6,11591798302,11591798302,0.0,SELL,XBID_Hour_Power,2021-06-26 14:00:00+00:00,2021-06-26 15:00:00+00:00,2021-06-25 13:00:13.768000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:13.768000+00:00,0.0,500.0,EUR,1.0,MAW,1.0,MWH
7,11591798685,11591798685,0.0,SELL,XBID_Hour_Power,2021-06-26 01:00:00+00:00,2021-06-26 02:00:00+00:00,2021-06-25 13:00:15.966000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:15.966000+00:00,0.0,500.0,EUR,2.0,MAW,2.0,MWH
8,11591798686,11591798686,0.0,SELL,XBID_Hour_Power,2021-06-25 22:00:00+00:00,2021-06-25 23:00:00+00:00,2021-06-25 13:00:15.966000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:15.966000+00:00,0.0,500.0,EUR,4.0,MAW,4.0,MWH
9,11591798687,11591798687,0.0,SELL,XBID_Hour_Power,2021-06-26 00:00:00+00:00,2021-06-26 01:00:00+00:00,2021-06-25 13:00:15.966000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:15.966000+00:00,0.0,500.0,EUR,4.0,MAW,4.0,MWH
10,11591798688,11591798688,0.0,SELL,XBID_Hour_Power,2021-06-26 17:00:00+00:00,2021-06-26 18:00:00+00:00,2021-06-25 13:00:15.966000+00:00,NL,NON,N,0.0,1,A,2021-06-25 13:00:15.966000+00:00,0.0,500.0,EUR,2.0,MAW,2.0,MWH
