,OrderId,TransactionTime,ActionCode,Side,DeliveryStart,DeliveryEnd,Price,Volume,Comments
0,11592021874,2021-06-25 14:45:53.237000+00:00,M,SELL,2021-06-25 23:00:00+00:00,2021-06-26 00:00:00+00:00,74.33,1.5,
1,11592021908,2021-06-25 14:45:53.971000+00:00,M,SELL,2021-06-26 00:00:00+00:00,2021-06-26 01:00:00+00:00,79.5,1.5,
2,11592024702,2021-06-25 14:46:59.341000+00:00,M,SELL,2021-06-26 01:00:00+00:00,2021-06-26 02:00:00+00:00,76.39,1.5,
3,11592024780,2021-06-25 14:47:00.817000+00:00,M,SELL,2021-06-26 03:00:00+00:00,2021-06-26 04:00:00+00:00,69.23,1.5,
0,11592035269,2021-06-25 14:52:21.682000+00:00,M,SELL,2021-06-26 00:00:00+00:00,2021-06-26 01:00:00+00:00,79.5,0.6,
1,11592037269,2021-06-25 14:53:27.478000+00:00,M,SELL,2021-06-26 01:00:00+00:00,2021-06-26 02:00:00+00:00,76.39,0.6,
2,11592037324,2021-06-25 14:53:29.009000+00:00,M,SELL,2021-06-26 03:00:00+00:00,2021-06-26 04:00:00+00:00,69.23,0.6,
0,11592050016,2021-06-25 15:00:02.533000+00:00,M,SELL,2021-06-25 22:00:00+00:00,2021-06-25 23:00:00+00:00,80.66,1.3,
1,11592050069,2021-06-25 15:00:03.281000+00:00,M,SELL,2021-06-25 23:00:00+00:00,2021-06-26 00:00:00+00:00,79.53,1.3,
2,11592053462,2021-06-25 15:01:09.996000+00:00,M,SELL,2021-06-26 00:00:00+00:00,2021-06-26 01:00:00+00:00,79.5,1.3,
3,11592053497,2021-06-25 15:01:10.723000+00:00,M,SELL,2021-06-26 01:00:00+00:00,2021-06-26 02:00:00+00:00,76.39,1.9,
0,11592096791,2021-06-25 15:27:27.268000+00:00,M,SELL,2021-06-25 22:00:00+00:00,2021-06-25 23:00:00+00:00,84.0,1.5,
1,11592096892,2021-06-25 15:27:31.699000+00:00,M,SELL,2021-06-25 22:00:00+00:00,2021-06-25 23:00:00+00:00,84.0,2.1,
2,11592097023,2021-06-25 15:27:36.952000+00:00,P,SELL,2021-06-25 22:00:00+00:00,2021-06-25 23:00:00+00:00,84.0,1.4,
3,11592097023,2021-06-25 15:27:36.952000+00:00,M,SELL,2021-06-25 22:00:00+00:00,2021-06-25 23:00:00+00:00,84.0,3.9,
0,11592124583,2021-06-25 15:41:58.102000+00:00,M,SELL,2021-06-25 23:00:00+00:00,2021-06-26 00:00:00+00:00,82.0,2.5,
1,11592124591,2021-06-25 15:41:58.828000+00:00,M,SELL,2021-06-26 00:00:00+00:00,2021-06-26 01:00:00+00:00,82.65,2.5,
2,11592124604,2021-06-25 15:41:59.551000+00:00,P,SELL,2021-06-26 01:00:00+00:00,2021-06-26 02:00:00+00:00,76.39,1.0,
3,11592124604,2021-06-25 15:41:59.551000+00:00,M,SELL,2021-06-26 01:00:00+00:00,2021-06-26 02:00:00+00:00,76.39,1.5,
4,11592126326,2021-06-25 15:43:09.044000+00:00,M,SELL,2021-06-26 03:00:00+00:00,2021-06-26 04:00:00+00:00,69.23,2.5,
5,11592126339,2021-06-25 15:43:09.866000+00:00,M,SELL,2021-06-26 04:00:00+00:00,2021-06-26 05:00:00+00:00,69.94,2.5,
0,11592144896,2021-06-25 15:55:25.009000+00:00,P,BUY,2021-06-26 20:00:00+00:00,2021-06-26 21:00:00+00:00,75.21,0.09999999999999998,
1,11592151825,2021-06-25 15:59:45.073000+00:00,M,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,72.5,0.1,
0,11592012287,2021-06-25 16:00:09.621000+00:00,P,SELL,2021-06-26 01:00:00+00:00,2021-06-26 02:00:00+00:00,81.19,1.2000000000000002,
1,11592012287,2021-06-25 16:00:09.621000+00:00,P,SELL,2021-06-26 01:00:00+00:00,2021-06-26 02:00:00+00:00,81.19,0.09999999999999998,
2,11592012287,2021-06-25 16:00:09.621000+00:00,M,SELL,2021-06-26 01:00:00+00:00,2021-06-26 02:00:00+00:00,81.19,0.8,
3,11592024814,2021-06-25 16:00:09.621000+00:00,P,SELL,2021-06-26 04:00:00+00:00,2021-06-26 05:00:00+00:00,79.94,1.1,
4,11592024814,2021-06-25 16:00:09.621000+00:00,M,SELL,2021-06-26 04:00:00+00:00,2021-06-26 05:00:00+00:00,79.94,0.4,
5,11592014686,2021-06-25 16:00:12.873000+00:00,M,SELL,2021-06-26 03:00:00+00:00,2021-06-26 04:00:00+00:00,76.69,2.1,
6,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,5.0,
7,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,4.0,
8,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,1.0,
9,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,4.0,
10,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,1.0,
11,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,4.0,
12,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,1.0,
13,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,4.0,
14,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,1.0,
15,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,4.0,
16,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,1.0,
17,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,4.0,
18,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,1.0,
19,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,4.0,
20,11592152133,2021-06-25 16:00:38.513000+00:00,P,BUY,2021-06-26 15:00:00+00:00,2021-06-26 16:00:00+00:00,74.0,1.0,
